Symbol,Company Name,Industry,Market Cap,Stock URL
ALSA,Alpha Star Acquisition Corporation,Shell Companies,102.37M,https://stockanalysis.com/stocks/ALSA/
ALSN,"Allison Transmission Holdings, Inc.",Auto Parts,6.44B,https://stockanalysis.com/stocks/ALSN/
ALT,"Altimmune, Inc.",Biotechnology,457.67M,https://stockanalysis.com/stocks/ALT/
ALTG,Alta Equipment Group Inc.,Rental & Leasing Services,277.77M,https://stockanalysis.com/stocks/ALTG/
ALTI,"AlTi Global, Inc.",Asset Management,559.24M,https://stockanalysis.com/stocks/ALTI/
ALTM,Arcadium Lithium plc,Specialty Chemicals,4.45B,https://stockanalysis.com/stocks/ALTM/
ALTO,"Alto Ingredients, Inc.",Specialty Chemicals,111.88M,https://stockanalysis.com/stocks/ALTO/
ALTR,Altair Engineering Inc.,Software - Infrastructure,7.10B,https://stockanalysis.com/stocks/ALTR/
ALUR,Allurion Technologies Inc.,Medical Devices,60.41M,https://stockanalysis.com/stocks/ALUR/
ALV,"Autoliv, Inc.",Auto Parts,9.73B,https://stockanalysis.com/stocks/ALV/
ALVO,Alvotech,Drug Manufacturers - Specialty & Generic,4.25B,https://stockanalysis.com/stocks/ALVO/
ALVR,"AlloVir, Inc.",Biotechnology,86.54M,https://stockanalysis.com/stocks/ALVR/
ALX,"Alexander's, Inc.",REIT - Retail,1.09B,https://stockanalysis.com/stocks/ALX/
ALXO,ALX Oncology Holdings Inc.,Biotechnology,469.42M,https://stockanalysis.com/stocks/ALXO/
ALZN,"Alzamend Neuro, Inc.",Biotechnology,4.28M,https://stockanalysis.com/stocks/ALZN/
AM,Antero Midstream Corporation,Oil & Gas Midstream,6.97B,https://stockanalysis.com/stocks/AM/
AMAL,Amalgamated Financial Corp.,Banks - Regional,762.79M,https://stockanalysis.com/stocks/AMAL/
AMAT,"Applied Materials, Inc.",Semiconductor Equipment & Materials,183.59B,https://stockanalysis.com/stocks/AMAT/
AMBA,"Ambarella, Inc.",Semiconductor Equipment & Materials,2.33B,https://stockanalysis.com/stocks/AMBA/
AMBC,"Ambac Financial Group, Inc.",Insurance - Specialty,586.57M,https://stockanalysis.com/stocks/AMBC/
AMBI,Ambipar Emergency Response,Waste Management,221.72M,https://stockanalysis.com/stocks/AMBI/
AMBO,Ambow Education Holding Ltd.,Education & Training Services,3.93M,https://stockanalysis.com/stocks/AMBO/
AMBP,Ardagh Metal Packaging S.A.,Packaging & Containers,2.33B,https://stockanalysis.com/stocks/AMBP/
AMC,"AMC Entertainment Holdings, Inc.",Entertainment,1.45B,https://stockanalysis.com/stocks/AMC/
AMCR,Amcor plc,Packaging & Containers,14.47B,https://stockanalysis.com/stocks/AMCR/
AMCX,AMC Networks Inc.,Entertainment,759.75M,https://stockanalysis.com/stocks/AMCX/
AMD,"Advanced Micro Devices, Inc.",Semiconductors,271.33B,https://stockanalysis.com/stocks/AMD/
